,y,x1,x2,x3,x4,x5
1,0.891223656,11.31011726,7.304922059,25.13870006,51.18643357,12.36587401
2,1.529762795,28.86738753,-2.097258024,15.33879428,-14.22547444,33.22708958
3,0.720653116,7.622209056,8.467494669,32.23999346,-40.31352704,10.33377686
4,0.953661315,17.39992016,-4.881389125,56.86568389,52.46595521,18.92263114
5,-2.605897018,-6.241536514,-9.394398393,22.00464205,58.64256738,-7.75905594
6,-1.555743525,3.992159515,-13.81156264,15.23578574,-1.864413775,5.409200393
7,-0.621745262,9.86107344,4.534355999,9.486051596,37.21103494,11.13727038
8,-0.804252488,2.506226606,8.076500173,3.691432996,-1.397244139,3.840148933
9,-0.083932476,9.669856209,-0.729784421,32.16226342,65.05771237,11.28747726
10,-1.431514185,10.87348511,-16.90549786,15.27305035,5.625625983,11.6523999
11,-0.008451645,14.34385428,-3.355063951,11.70554596,30.49993771,16.95268208
12,-1.982186669,0.94586073,-23.01909388,37.02772977,35.78177442,1.349473796
13,0.170576213,10.81107271,-7.748265155,54.23268624,51.29076349,12.68967377
14,-0.531885503,2.275024823,9.969503169,14.78240797,71.81988571,4.074931573
15,-0.630725017,-0.936134058,14.84545056,11.40567709,-10.94017992,1.268012091
16,-1.117614992,6.371324088,-8.488312376,26.83153659,8.95201944,6.763496085
17,-0.103017046,10.36812034,2.515034394,17.1006178,-28.15265354,11.45623156
18,0.88782704,7.913779045,13.00855955,33.7817222,-1.15670291,11.40225933
19,0.778812112,15.52083984,7.584040928,16.02187525,10.14531216,18.43279235
20,1.60336931,17.26022885,4.6903133,39.33690042,61.60317088,20.45739022
21,0.961622158,16.22257729,2.660126568,44.19988075,-68.82608512,18.52899004
22,1.302022045,14.77091397,14.16291992,48.6489622,41.72662391,16.50041603
23,1.327748421,13.22599947,8.495377776,48.37138945,56.37382892,14.6728046
24,1.396941527,17.51835493,19.14145792,12.93403417,27.35676784,20.99120576
25,-0.811383349,10.99841307,-12.73705314,26.19556048,-9.339882762,12.24301203
26,0.037482587,13.77062991,-3.046712796,21.08635362,-59.41997839,15.14551664
27,-1.295848782,13.24086497,0.859271095,-34.96612451,-29.0620497,13.79118041
28,-0.348803403,15.0478196,-12.84376398,27.6949311,11.62911202,16.0144837
29,1.390818174,16.02016163,1.857826639,62.99085278,1.714849111,19.12725448
30,0.895263431,4.958812308,16.20580914,38.40573373,11.73255905,8.358848161
31,0.54717804,10.09012633,-4.136700048,63.25151182,31.20320252,13.438483
32,0.782405189,0.165077152,16.74851113,51.7968733,102.8420501,1.493627622
33,-1.120503053,9.167959891,-1.556973347,-14.31742685,104.3743661,8.278946544
34,0.879379642,14.24348416,2.865835855,50.26335369,54.83701855,16.6812213
35,1.185341296,9.591956292,24.89383886,20.05313763,-0.631575204,12.86672741
36,-1.178725855,7.14081683,-6.219796512,12.97934931,-4.722090727,7.814278888
37,-0.601742011,8.384765269,-4.280922198,11.39920219,10.33050333,9.270121334
38,-0.229267039,2.17418276,-3.393540703,54.95444705,-0.602269411,2.553147373
39,0.954911844,18.12445037,-7.98808787,51.8498308,-0.141888723,19.52041365
40,0.13705577,7.812692043,5.847666807,13.46272595,122.3393528,10.07224204
41,0.485075338,21.24507033,-6.379832618,24.79720859,10.16564218,24.59992629
42,-1.00792054,11.04372461,-19.08740203,30.0838936,26.72049376,11.79178758
43,-0.087173388,5.79023513,-11.89143587,73.10357768,15.23125933,6.660845062
44,-0.27082852,8.696988036,1.946901766,23.41639601,47.75949904,9.1470905
45,-0.884389512,7.719863061,-6.405229017,-1.215991643,-2.551792055,7.500681469
46,-0.771345871,3.58161219,2.9265537,26.70443305,-2.71588731,3.127436522
47,0.529637597,12.06803067,-3.722290867,50.28372597,33.38387676,14.23557421
48,-0.395063364,8.445346377,2.45200488,21.41784004,-39.11662311,8.376583266
49,0.071783366,8.290881289,-3.739041875,38.52022488,7.61717686,10.87455896
50,0.449503414,15.37945955,-2.6890916,18.18572457,22.17699697,18.54498478
51,-0.440433471,5.439029305,5.091017765,27.17498418,18.67448345,7.357965336
52,0.554694302,14.67991827,1.325952955,21.06297853,-6.705712373,16.46477905
53,-0.44149213,7.567444943,-4.200144102,30.8522772,23.11836122,10.12575152
54,0.560822124,4.423525105,17.99316625,44.56841416,-14.72470443,7.491732408
55,-0.455707229,1.530463428,-0.048706923,60.86568862,63.46214557,1.947630057
56,2.36540638,20.76408377,18.07258156,39.25701883,-16.90707714,24.3695674
57,2.252110508,16.93691017,16.96101947,50.17629942,42.64898444,19.81160268
58,-1.274384045,6.170460108,-1.550467056,-5.029451623,-34.99380569,6.127123977
59,-1.545395032,3.988366245,-12.66377796,18.93290151,87.06633048,4.060785175
60,-1.531021853,-3.40518125,-0.760814051,21.72696538,4.727109819,-3.973430402
61,0.131101465,11.49585184,-4.436402125,31.48662057,-1.881468967,12.57943121
62,-0.645423145,9.602157348,2.888485415,-0.562144731,47.83193354,11.66293649
63,-1.121997102,9.932137593,-15.21385947,17.04506741,33.34346983,9.863367735
64,-2.12611742,6.764555592,-16.84795547,16.46578476,30.97492221,7.292036046
65,0.722960424,2.855676911,12.25671782,54.7949809,-3.328865566,6.245600194
66,0.135879431,5.136617647,12.98935341,21.26651538,41.0222771,6.548025788
67,0.673405988,11.03838179,0.986025738,75.65134379,26.8513823,14.42613911
68,1.11042498,22.05797169,-9.280436822,39.81998356,25.12632981,24.38586685
69,0.608544429,18.2121977,-4.867975233,25.87674943,-5.978792967,21.62208064
70,-0.38387633,3.786178926,1.288132369,37.00059753,11.45110352,7.055545139
71,0.033888909,13.65343414,-11.94882544,37.45360437,-34.25617652,2.592671544
72,-0.097376061,11.64905858,-0.791445651,14.78828427,1.825481021,12.37765867
73,-0.549109099,20.57651842,-20.01271175,13.77351384,54.71233511,0.675779076
74,-0.307204314,6.390438173,0.753754608,29.18951714,4.753345791,8.474816927
75,1.483672023,16.03554735,14.19581412,40.0897276,47.07138334,32.53337459
76,-1.791738144,-0.747213747,-11.64227048,23.58128547,37.01282111,-11.25367036
77,-0.851340121,11.04667923,-6.986736187,10.79151222,13.61000505,5.135571698
78,2.121461673,17.18854789,22.19578632,38.49682991,44.88236781,40.46241376
79,0.563698987,10.3337578,3.577060943,33.73444207,104.3326553,14.86132156
80,1.146993052,7.770747235,18.4669215,50.9073028,-5.852243601,26.78007658
81,0.521851618,11.99087218,17.29485805,-18.18099727,66.86774607,30.06383076
82,-0.096874027,10.63705976,-6.525116507,66.84471349,23.32055945,6.370071706
83,-0.311942251,14.17805517,-8.932694909,22.06382228,49.40906868,7.034254973
84,-0.15943326,5.921503406,-3.013300845,59.57568808,65.75120306,4.441831617
85,-0.429574625,15.67369309,-5.845477229,8.792458036,-18.44825738,11.32171625
86,0.312295072,5.52656567,9.156513948,45.048508,-4.953855,16.53002013
87,0.72930062,10.40209789,-2.285357875,72.9750869,42.81875123,9.306245083
88,-0.493993552,5.372455262,-5.930296293,42.15735041,7.328658187,-0.358925771
89,0.023225765,8.015189782,9.394670254,15.4377795,-23.17622103,18.23089956
90,-0.770836493,-1.308198054,8.099986414,28.47490545,-18.06919461,7.767994762
91,0.803080178,16.8579248,-0.085660516,30.03537497,-17.32523728,17.12341236
92,1.086299638,17.54886501,10.36775183,14.26231373,-24.92881594,29.20346281
93,-1.689104109,-1.321763983,-9.8693486,38.1383794,3.774539377,-10.33301825
94,-0.32509841,16.72859057,-20.54060151,46.71602095,-21.49181239,-3.659607523
95,0.953331038,18.15684965,0.94958722,31.32796984,0.780361924,19.80380057
96,0.541587595,17.18313838,-7.59801671,44.10825061,80.38401676,10.81964294
